Artists,Name,Rank,Date,Genre,Writing Credits,Lyrics,Songwriter
"DJ Snake, Justin Bieber",Let Me Love You,46,4-Aug-16," Electro-Pop , Tropical House ,  Canada , Electronic , Pop  ","Edwin Perez, Teddy Mendez, Steve Marsden, Lumidee Cedeno, William Grigahcine, Brian Dong Ho Lee, DJ Snake, Carl Austin Rosen, Justin Bieber, Ali Tamposi, Louis Bell & ?watt","Let Me Love You
I used to believe
We were burnin' on the edge of somethin' beautiful
Somethin' beautiful
Sellin' a dream
Smoke and mirrors keep us waitin' on a miracle
On a miracle
Say, go through the darkest of days
Heaven's a heartbreak away
Never let you go, never let me down
Oh, it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Oh baby, baby
Don't fall asleep
At the wheel, we've got a million miles ahead of us
Miles ahead of us
All that we need
Is a rude awakening to know we're good enough yeah
Know we're good enough
Say go through the darkest of days
Heaven's a heartbreak away
Never let you go, never let me down
Oh it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Oh baby, baby
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Don't you give up, nah, nah, nah
I won't give up, nah, nah, nah
Let me love you
Let me love you
Oh baby, baby
",False
Demi Lovato,Sorry Not Sorry,47,11-Jul-17," R&B  , Pop  ","Oak, Zaire Koalo, Trevor Brown, Sean Douglas & Demi Lovato","Sorry Not Sorry
Payback is a bad bitch
And baby, I'm the baddest
I'm the baddest, I'm the baddest...
Go
Now, I'm out here lookin' like revenge
Feelin' like a ten, the best I've ever been
And, yeah, I know how bad it must hurt to see me like this
But it gets worse wait a minute
Now, you're out here lookin' like regret, ain't too proud to beg
Second chance, you'll never get
And, yeah, I know how bad it must hurt to see me like this
But it gets worse wait a minute
Now, payback is a bad bitch
And baby, I'm the baddest
You fuckin' with a savage
Can't have this, can't have this ah
And it'd be nice of me to take it easy on ya, but nah
Baby, I'm sorry I'm not sorry
Baby, I'm sorry I'm not sorry
Bein' so bad got me feelin' so good
Showin' you up like I knew that I would
Baby, I'm sorry I'm not sorry
Baby, I'm sorry I'm not sorry
Feelin' inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns
Baby, fineness is the way to kill
Tell me how it feel, bet it's such a bitter pill
And yeah I know, you thought you had bigger, better things
Bet right now this stings wait a minute
'Cause the grass is greener under me
Bright as Technicolor, I can tell that you can see
And yeah, I know how bad it must hurt to see me like this
But it gets worse wait a minute
Now, payback is a bad bitch
And baby, I'm the baddest
You fuckin' with a savage
Can't have this, can't have this ah
And it'd be nice of me to take it easy on ya, but nah
Baby, I'm sorry I'm not sorry
Baby, I'm sorry I'm not sorry
Bein' so bad got me feelin' so good
Showin' you up like I knew that I would
Baby, I'm sorry I'm not sorry
Baby, I'm sorry I'm not sorry
Feelin' inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns
Talk that talk, baby
Better walk, better walk that walk, baby
If you talk, if you talk that talk, baby
Better walk, better walk that walk, baby
Oh, yeah, talk that talk, baby
Better walk, better walk, that walk, baby
If you talk, if you talk that talk, baby
Better walk, better walk that walk, baby
Baby, I'm sorry I'm not sorry
Baby, I'm sorry I'm not sorry
Bein' so bad got me feelin' so good
Showin' you up like I knew that I would
Baby, I'm sorry I'm not sorry
Baby, I'm sorry I'm not sorry
Feelin' inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns
Payback is a bad bitch
And baby, I'm the baddest
I'm the baddest, I'm the baddest
",False
21 Savage,Bank Account,48,7-Jul-17," Memes , Epic Records , Trap , Rap  ",Metro Boomin & 21 Savage,"Bank Account
I buy a new car for the bitch for real
I tear down the mall with the bitch for real
You can't even talk to the bitch no
She fucking with bosses and shit on God
I pull up in 'Rari's and shit skrrr
With choppers and Harley's and shit for real
I be Gucci'd down Gucci
You wearing Lacoste and shit bitch
Yeah, Moncler, yuh, fur came off a bear, yuh yeah
Triple homicide, put me in a chair, yuh in jail
Triple cross the plug, we do not play fair, yuh on God
Got 'em tennis chains on and they real blingy bling
Draco make you do the chicken head like Chingy Chingy
Walk in Neiman Marcus and I spend a light fifty fifty
Please proceed with caution, shooters, they be right with me 21
Bad bitch, cute face and some nice titties
$7500 on a Saint Laurent jacket yeah
Bitch, be careful when you dumpin' your ashes bitch
I ain't no sucker, I ain't cuffin' no action nah
The skreets raised me, I'm a whole bastard wild
I bought a 'Rari just so I can go faster skrrr
Niggas tryna copy me, they playin' catch up 21
I might pull up in a Ghost, no Casper 21
I been smoking gas and I got no asthma
I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah fast
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Yeah, dog, huh—yeah—, nah for real, dog 21
Straight up out the 6, now got a house in the Hills, dog 21
Wanna see a body, nigga? Get you killed, dog wet
Wanna tweet about me, nigga? Get you killed, dog wet
Killed dog, I'm a real dog—21—, you a lil' dog 21
Be a dog, wanna be a dog, chasing mil's, dog yeah
Dunk right in your bitch like O'Neal, dog wet
I shoot like, shoot like Reggie Mill', dog 21
Chopper sting you like a eel, dog fast
I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah fast
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ruler clip—umm—, sent a ruler hit
Pull up on yo' bitch, she say that I got a ruler dick
Spray your block down, we not really with that ruh-rah shit
Glock cocked now, I don't really give no fuck 'bout who I hit
Yeah, yo' bitch, she get jiggy with me, keep that Siggy with me
Bitch, I'm Mad Max, you know I got Ziggy with me
Keep a mad mag in case a nigga wanna get busy with me
'Rari matte black and I got a Bentley with me
I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah fast
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
$7500 on a Saint Laurent jacket
Bitch, be careful where you dumpin' your ashes
I ain't no sucker, I ain't cuffin' no action
The streets raised me, I'm a whole bastard
",True
Justin Timberlake,Can't Stop The Feeling!,49,6-May-16," Screen  , Pop  , R&B  ","Shellback, Justin Timberlake & Max Martin","CAN'T STOP THE FEELING!
I got this feeling inside my bones
It goes electric, wavey when I turn it on
All through my city, all through my home
We're flying up, no ceiling, when we in our zone
I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop
And under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine, just imagine, just imagine
Nothing I can see but you when you dance, dance, dance
A feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance Come on
Ooh, it's something magical
It's in the air, it's in my blood, it's rushing on
I don't need no reason, don't need control
I fly so high, no ceiling, when I'm in my zone
'Cause I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop
And under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine, just imagine, just imagine
Nothing I can see but you when you dance, dance, dance
A feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance Come on
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So keep dancing Come on
I can't stop the, I can't stop the
I can't stop the, I can't stop the
I can't stop the feeling
Nothing I can see but you when you dance, dance, dance
I can't stop the feeling
Feeling good, good, creeping up on you
So just dance, dance, dance, come on
I can't stop the feeling
All those things I shouldn't do
But you dance, dance, dance
I can't stop the feeling
And ain't nobody leaving soon, so keep dancing
Everybody sing
I can't stop the feeling
Got this feeling in my body
I can't stop the feeling
Got this feeling in my body
I can't stop the feeling
Wanna see you move your body
I can't stop the feeling
Got this feeling in my body, come on
Break it down
Got this feeling in my body
Can't stop the feeling
Got this feeling in my body, come on
",True
"J Balvin, Willy William, Beyonce",Mi Gente,50,28-Sep-17," Dancehall , Latin Music , En Español , Pop  ","Mohombi, Sky Rompiendo El Bajo, Ashadally Adam, The-Dream, Beyoncé, Rolo, Willy William & J Balvin","Mi Gente Beyoncé Remix
Si el ritmo te lleva a mover la cabeza ya empezamos cómo es
Mi música no discrimina a nadie así que vamos a romper
Con lo mío todos se mueven
La fiesta la llevo en mis genes
Yo soy la reina de los nenes
Mi gente no se detiene, aquí nadie se quiere ir
Si el ritmo está en tu cabeza
Ahora suéltate y mueve los pies
Me encanta cuando el bajo suena
Empezamos a subir de nivel
Toda mi gente se mueve
La fiesta la llevo en mis genes
Yo soy la reina de los nenes
Mi musica los tiene fuerte bailando y se baila así
Tamo' rompiendo la discoteca
La fiesta no para, apenas comienza
C'est comme-ci, c'est comme-ça
Ma chèrie, la la la la la
Francia, Colombia, Houston Freeze
J Balvin, Willy William, Beyoncé Freeze
Los DJ's no mienten, le gusta a mi gente y eso se fue mundial Freeze
No le bajamos, más nunca paramos es otro palo y ¡Blam!
¿Y dónde está mi gente?
Mais fais bouger la tête
Azul, are you with me
Say yeah, yeah, yeah
Un, dos, tres, leggo'
Ay yeah, yeah, yeah
He say my body stay wetter than the ocean
And he say that Creole in my body is like a potion
I can be a beast or I can give you emotion
But please don't question my devotion
I been giving birth on these haters 'cause I'm fertile
See these double Cs on this bag, murda
Want my double Ds in his bed, Serta
If you really love me make an album about me, word up
Soon as I walk in
Boys start they talkin
Right as that booty sway Freeze
Slay
Lift up your people
From Texas, Puerto Rico
Dem' islands to México Freeze
¿Y dónde está mi gente? Yeah, yeah, yeah
Mais fais bouger la tête Yeah, yeah, yeah
¿Y dónde está mi gente? Yeah, yeah, yeah
Say yeah, yeah, yeah
Un, dos, tres, leggo'
Ay yeah, yeah, yeah
Esquina a esquina, de ahí no' vamo' de ahí no' vamo'
El mundo es grande pero lo tengo en mi' manos
Estoy muy duro, sí, ok, ahí vamos
Y con el tiempo nos seguimos elevando
Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Mi gente no se detiene, aquí nadie se quiere ir
¿Y dónde está mi gente?
Mais fais bouger la tête
Azul, are you with me
Say yeah, yeah, yeah
Un, dos, tres, leggo'
Oh, yes, I am
Worldwide
Willy William
J Balvin, man
Uh huh, Uh huh
Uh huh, Uh huh
",False
Imagine Dragons,Thunder,51,27-Apr-17," Adult Alternative , Electronic Rock , Electro-Pop , Alternative Dance , Dance-Pop , Indie Rock , Alternative Pop , Alternative , Pop  , Pop-Rock , Alternative Rock , Rock  ","Jayson DeZuzio, Alex da Kid, Wayne Sermon, Daniel Platzman, Ben McKee & Dan Reynolds","Thunder
Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things
And wanna leave my old life behind
Not a yessir, not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lightning before the thunder
Thunder, feel the thunder
Lightning then the thunder
Thunder, feel the thunder
Lightning then the thunder
Thunder, thunder
Thunder
Kids were laughing in my classes
While I was scheming for the masses
Who do you think you are?
Dreaming 'bout being a big star
They say you're basic, they say you're easy
You're always riding in the backseat
Now I'm smiling from the stage
While you were clapping in the nose bleeds
Thunder, feel the thunder
Lightning then the thunder
Thunder, feel the thunder
Lightning then the thunder
Thunder
Thunder, feel the thunder
Lightning then the thunder, thunder
Thunder, feel the thunder
Lightning then the thunder, thunder
Thunder, feel the thunder
Lightning then the thunder, thunder
Thunder, feel the thunder
Lightning then the thunder, thunder
Thunder, feel the thunder
Lightning then the thunder, thunder
",False
Migos,T-Shirt,52,6-Jan-17," Southern , Quality Control Music , 300 Entertainment , Trap , Atlanta , Rap  ","Nard & B, XL, Offset, Takeoff & Quavo","T-Shirt
Nard & B
Trenchwerk
Ayy Mama told me ayy not to sell work mama
Seventeen five, same color T-shirt white
Mama told me ayy not to sell work mama
Seventeen five, same color T-shirt yeah
Young nigga poppin' with a pocket full of cottage ayy
Woah kemosabe, chopper aimin' at your noggin ayy
Had to cop the Audi, then the top, I had to chop it skrt skrt
Niggas pocket watchin', so I gotta keep the rocket grrah
Neck water faucet, mockingbirds mocking woo
Act pint, stocking, nats keep thotting nat
Wrist on hockey, wrist on rocky rocky
Lotta niggas copy huh, name someone can stop me no one
Bitches call me papi bitch, 'sace that's my hobby 'sace
Scotty on the molly, pocket rocket from O'Reilly grrah
One off in the chamber, ain't no need for me to cock it uh
Niggas get to droppin' when that Draco get to poppin' frrr
All I want is cottage, roll a cigar full of broccoli the cookie
No check, want all cash, nigga, I don't do deposits uh-uh
Bitches cross the border, nigga, bitches from the tropics bsh
I'ma get that bag, nigga, ain't no doubt about it yup
I'ma feed my family, nigga, ain't no way around it family
Ain't gon' never let up nigga, God said show my talent show it
Young nigga with the Anna, walkin' with the hammer grrah
Talkin' country grammar, nigga
Straight out Nawf Atlanta Nawf side
Young nigga poppin' with a pocket full of cottage ayy
Woah kemosabe, chopper aimin' at your noggin ayy
Had to cop the Audi, then the top, I had to chop it skrt skrt
Niggas pocket watchin', so I gotta keep the rocket ayy
Ayy Mama told me ayy not to sell work mama
Seventeen five, same color T-shirt white
Mama told me ayy not to sell work mama
Seventeen five, same color T-shirt yeah
Mama told you
Mama told me mama not to sell work
Mama told you mama
Seventeen five, same color T-shirt white
1995 19, 2005 2000
Seen it with my eyes seen, dope still alive dope
Real mob ties mob, real frog eyes frog
Real whole pies woh, all-time high high
Do it for the culture culture
They gon' bite like vultures vultures
Way back when woh I was trappin' out Toyotas skrrt skrrt
I'ma hit the gas gas, 12 can't pull me over twelve
Space coupe, Quavo Yoda, pourin' drank in sodas
I get high on my own, sir, heard you gon' clone, sir
Stop all that flexin', young nigga don't wanna go there
Never been a gopher no, but I always been a soldier
Young niggas in the cut wooh, posted like a vulture wah
Divin' off the stage yeah in the crowd, it's a mosh pit
Yeah, shawty bad, but she broke 'cause she don't own shit
Mama asked me mama, ""Son, when the trappin' gon' quit?"" mama
I been ridin' 'round wooh through the city in my new bitch 'krt
Young nigga poppin' with a pocket full of cottage ayy
Woah kemosabe, chopper aimin' at your noggin ayy
Had to cop the Audi, then the top, I had to chop it skrt skrt
Niggas pocket watchin', so I gotta keep the rocket ayy
Ayy Mama told me ayy not to sell work mama
Seventeen five, same color T-shirt white
Mama told me ayy not to sell work mama
Seventeen five, same color T-shirt yeah
Mama told you, mama told you
",False
"Yo Gotti, Nicki Minaj",Rake It Up,53,2-Jun-17," Trap , Young Money , YMCMB , Rap  ","30 Roc, Too $hort, Yo Gotti, Nicki Minaj & Mike WiLL Made-It","Rake It Up
EarDrummers
Aw, this the strip club anthem, nigga, what's up?
Young Money
Yeah, me and Mike WiLL pull up to AOD back to back
Them AMG 63's
Mike WiLL Made-It, nigga
I tell all my hoes, ""Rake it up
Break it down, bag it up""
Fuck it up, fuck it up fuck it up, fuck it up
Back it up, back it up back it up, back it up
Rake it up, rake it up rake it up, rake it up
Back it up, back it up back it up, back it up
I tell all my hoes what? ""Rake it up
Break it down, bag it up"" bag it up, bag it up
Fuck it up, fuck it up fuck it up
Fuck it up, fuck it up fuck it up
Fuck it up, fuck it up fuck it up
Rake it up, rake it up rake it up
I made love to a stripper stripper, first I had to tip her phrrr
Twenty thousand ones woo, she said I'm that nigga I am
I said, ""I'm that nigga, bitch, I already know it"" I know it
I come with bad weather ksh, they say I'm a storm ayy
VVS's in my charm, that's a Roc-A-Fella chain
I was sendin' bricks to Harlem back when Jay was still with Dame
I'm in Phillipe Chow what?, I got a Patek on okay
Got a stripper with me, she picked up the check, homes phrrr
She gon' fuck it up, fuck it up fuck it up
She don't need make-up make-up
She gon' rake it up, rake it up rake it up
She gon' tell a nigga pay up pay up
She said pay for the pussy, pay for the pussy pay
Wait for the pussy, wait for the pussy wait
Asked God to forgive me why?
'Cause I prayed for the pussy, prayed for the pussy
I tell all my hoes, ""Rake it up
Break it down, bag it up""
Fuck it up, fuck it up fuck it up, fuck it up
Back it up, back it up back it up, back it up
Rake it up, rake it up rake it up, rake it up
Back it up, back it up back it up, back it up
I tell all my hoes what? ""Rake it up
Break it down, bag it up"" bag it up, bag it up
Fuck it up, fuck it up fuck it up
Fuck it up, fuck it up fuck it up
Fuck it up, fuck it up fuck it up
Rake it up, rake it up rake it up
Yo, yo! Brought out the pink Lamborghini just to race with Chyna
Brought the Wraith to China just to race in China
Lil' bad Trini bitch but she mixed with China
Real thick vagina, smuggle bricks to China woo
I tell all my niggas yo, cut the check cut the check
Buss it down, turn your goofy down down pound
I'ma do splits on it, yes, splits on it splits
I'm a bad bitch, I'ma throw fits on it fits
I'ma bust it open! I'ma go stupid and be a ditz on it ditz
I don't date honey no, cookie on tsunami oh
All my niggas wife me once they get that good punani oh
I think he need a Bonnie, I might just let him find me
Never trust a big butt and a smile, word to Ronnie
Re-rep Queens like Supreme, ask Webb and Nitti
A-ask Bimmy and Joe, nigga run me my dough
Wr-wrist game is freezin' like it wait in the cold
Nickname is Nicki, but my name ain't Nicole, name ain't Nicole grrr
I tell all my hoes, ""Rake it up
Break it down, bag it up""
Fuck it up, fuck it up fuck it up, fuck it up
Back it up, back it up back it up, back it up
Rake it up, rake it up rake it up, rake it up
Back it up, back it up back it up, back it up
I tell all my hoes what? ""Rake it up
Break it down, bag it up"" bag it up, bag it up
Fuck it up, fuck it up fuck it up
Fuck it up, fuck it up fuck it up
Fuck it up, fuck it up fuck it up
Rake it up, rake it up rake it up
Well, I'm the doughboy, the one they talkin' about
All these gossipin' ass niggas got my name in they mouth
I know the bad bitches but know niggas who bitches too
They should bleed once a month 'cause that's what these bitches do
You a beitch and ya bitch should expose you
All that pillow talkin', nigga, that's what the hoes do
You a beitch word to my nigga $hort
We won't never write no statement, we ain't showin' up in court
Beitch We don't do no gossipin', we don't do no arguin'
We don't beef on social sites, we just hit our target
We don't do no rumors rumors we don't don't pay no shooters brrr
You a little bitty bitch, you should work at Hooters yeah
You a old hater, you a fuckin' cougar
You a beitch and he a beitch and y'all like twin sisters
Respect ya hustle, get ya money baby, win with us
Ya boyfriend actin' like a beitch then why you still with him?
I tell all my hoes, ""Rake it up
Break it down, bag it up""
Fuck it up, fuck it up fuck it up, fuck it up
Back it up, back it up back it up, back it up
Rake it up, rake it up rake it up, rake it up
Back it up, back it up back it up, back it up
I tell all my hoes what? ""Rake it up
Break it down, bag it up"" bag it up, bag it up
Fuck it up, fuck it up fuck it up
Fuck it up, fuck it up fuck it up
Fuck it up, fuck it up fuck it up
Rake it up, rake it up rake it up
",True
Shawn Mendes,Mercy,54,18-Aug-16,"  Canada , Pop  ","Ilsey Juber, Teddy Geiger, Danny Parker & Shawn Mendes","Mercy
You've got a hold on me
Don't even know your power
I stand a hundred feet
But I fall when I'm around ya
Show me an open door
And you go and slam it on me
I can't take anymore
I'm saying
Baby, please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy, mercy on my heart?
Would you please have mercy, mercy on my heart?
I'd drive through the night
Just to be near you, baby
Heart open, testify
Tell me that I'm not crazy
I'm not asking for a lot
Just that you're honest with me
And my pride, is all I got
I'm saying
Baby, please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy on me?
I'm a puppet on your strings
And even though you got good intentions
I need you to set me free
Would you please have mercy, mercy on my heart?
Would you please have mercy, mercy on my heart?
Consuming all the air inside my lungs
Ripping all the skin from off my bones
I'm prepared to sacrifice my life
I would gladly do it twice
Consuming all the air inside my lungs
Ripping all the skin from off my bones
I'm prepared to sacrifice my life
I would gladly do it twice
Oh, please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy on me?
I'm a puppet on your string
And even though you got good intentions
I need you to set me free
I'm begging you for mercy, mercy
I'm begging you, begging you, please, baby
I'm begging you for mercy, mercy
Ooh, I'm begging you, I'm begging you
",False
Kodak Black,Tunnel Vision,55,16-Feb-17," Trap , Rap  ","Tim Gomringer, Kevin Gomringer, Metro Boomin, Southside & Kodak Black","Tunnel Vision
Kleeee!
Southside
Aye, Lil Metro on that beat
Lil Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me: ""Boy, make good decisions!""
Right now I gotta keep a tunnel vision
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
Lil Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me: ""Boy, make good decisions!""
Right now I gotta keep a tunnel vision
They sendin' all my homies on a mission
And I ain't tryna miss out on these millions
I jumped up out the Wraith, Kodak bought a Wraith
I get any girl I want, any girl I want
She want me to save the day, but I ain't got a cape
She wanna see me every day, she wanna be my bae
That money make me cum, it make me fornicate, uh
I'm the shit, I need some toilet pap-er
Follow my player rules, then we gon' be okay
On the real I need a bih' who gon' cooperate
Lil Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me: ""Boy, make good decisions!""
Right now I gotta keep a tunnel vision
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
Lil Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me: ""Boy, make good decisions!""
Right now I gotta keep a tunnel vision
They sendin' all my homies on a mission
And I ain't tryna miss out on these millions
I told you niggas I'm gon' be that fuckin' nigga
Everything be good 'til you doin' better than 'em
They wanna see a nigga shot or see me in the system
All you niggas out here poison like snake venom
Codeine in my liver, rockin' Balenciaga denim
I'm booted even when I'm sober, I don't need a jigga
They sendin' all my niggas on a fuckin' journey
I told that baby to come over 'cause I'm fuckin' horny
My mama told me: ""Kill these niggas, son, keep it goin'!""
I'm thug to the bone, but I'm still her baby boy
Lil Kodak, boy they hate to see you in a foreign
They miss when you was in that 'Yota kickin' door
Lil Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me: ""Boy, make good decisions!""
Right now I gotta keep a tunnel vision
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
Lil Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me: ""Boy, make good decisions!""
Right now I gotta keep a tunnel vision
They sendin' all my homies on a mission
And I ain't tryna miss out on these millions
",True
"Post Malone, 21 Savage",Rockstar,56,15-Sep-17," Universal , Universal Republic Records , Epic Records , Atlanta , Republic Records , Trap , Rap  ","Tank God, Carl Austin Rosen, Joey Bada$$, Louis Bell, 21 Savage & Post Malone","rockstar
Hahahahaha
Tank God
Ayy, ayy
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar star, ayy, ayy
All my brothers got that gas
And they always be smokin' like a Rasta 'sta
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas 'tas
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta ta, pow, pow, pow, ayy, ayy
Switch my whip, came back in black
I'm startin' sayin', ""Rest in peace to Bon Scott"" Scott, ayy
Close that door, we blowin' smoke
She ask me light a fire like I'm Morrison 'son, ayy
Act a fool on stage
Prolly leave my fuckin' show in a cop car car, ayy
Shit was legendary
Threw a TV out the window of the Montage
Cocaine on the table, liquor pourin', don't give a damn
Dude, your girlfriend is a groupie, she just tryna get in
Sayin', ""I'm with the band"" ayy, ayy
Now she actin' outta pocket, tryna grab up on my pants
Hundred bitches in my trailer say they ain't got a man
And they all brought a friend yeah, ayy, ayy, ayy
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar star, ayy, ayy
All my brothers got that gas
And they always be smokin' like a Rasta 'sta
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas 'tas
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta ta, pow, pow, pow
I've been in the Hills fuckin' superstars
Feelin' like a popstar 21, 21, 21
Drankin' Henny, bad bitches jumpin' in the pool
And they ain't got on no bra bra
Hit her from the back, pullin' on her tracks
And now she screamin' out, ""¡No más!"" yeah, yeah, yeah
They like, ""Savage, why you got a twelve car garage
And you only got six cars?"" 21
I ain't with the cakin', how you kiss that? kiss that?
Your wifey say I'm lookin' like a whole snack big snack
Green hundreds in my safe, I got old racks old racks
L.A. bitches always askin', ""Where the coke at?"" 21, 21
Livin' like a rockstar, smash out on a cop car
Sweeter than a Pop-Tart, you know you are not hard
I done made the hot chart, 'member I used to trap hard
Livin' like a rockstar, I'm livin' like a rockstar ayy
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar star, ayy, ayy
All my brothers got that gas
And they always be smokin' like a Rasta 'sta, yeah, yeah, yeah, yeah
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas 'tas
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta ta, grrra-ta-ta-ta-ta
Star, star, rockstar, rockstar, star
Rockstar
Rockstar, feel just like a rock...
Rockstar
Rockstar
Rockstar
Feel just like a...
",False
Brett Young,In Case You Didn't Know,57,12-Feb-16, Country  ,"Kyle Schlienger, Tyler Reeve, Trent Tomlinson & Brett Young","In Case You Didn't Know
I can't count the times
I almost said what's on my mind
But I didn't
Just the other day
I wrote down all the things I'd say
But I couldn't
I just couldn't
Baby, I know that you've been wondering
Mmm, so here goes nothing
In case you didn't know
Baby, I'm crazy bout you
And I would be lying if I said
That I could live this life without you
Even though I don't tell you all the time
You had my heart a long long time ago
In case you didn't know
The way you look tonight
That second glass of wine
That did it
There was something 'bout that kiss
Girl it did me in
Got me thinking
I'm thinking
One of the things that I've been feeling
Mmm, it's time you hear em
In case you didn't know
Baby, I'm crazy bout you
And I would be lying if I said
That I could live this life without you
Even though I don't tell you all the time
You had my heart a long long time ago
In case you didn't know
You've got all of me
I belong to you
Yeah you're my everything
In case you didn't know
I'm crazy bout you
I would be lying if I said
That I could live this life without you
Even though I don't tell you all the time
You had my heart a long long time ago
Yeah, you had my heart a long long time ago
In case you didn't know
In case you didn't know
",False
